Date,ID,Cost,category,Name,Desc
28/07/2015,Reference: AT152100016000010195786,5.95,Sandwich,STARBUCKS LONDON,Starbucks - 12215 - Sun Street Process Date 28/07/2015  Starbucks - 12215 - Sun Street
28/07/2015,Reference: AT152100016000010196786,10.13,Essential Foods,WM MORRISONS STORES LONDON, Process Date 28/07/2015
29/07/2015,Reference: AT152110018000010197714,6,Sandwich,LANIMA LONDON,GOODS OR SERVICES Process Date 29/07/2015  GOODS OR SERVICES
30/07/2015,Reference: AT152120013000010202511,5.65,Sandwich,PRET A MANGER-WHITECROS LONDON, Process Date 30/07/2015
30/07/2015,Reference: AT152120013000010203789,3.34,Essential Foods,WM MORRISONS STORES LONDON, Process Date 30/07/2015
31/07/2015,Reference: AT152130006000010192720,5,Sandwich,LANIMA LONDON,GOODS OR SERVICES Process Date 31/07/2015  GOODS OR SERVICES
31/07/2015,Reference: AT152130006000010193080,6.57,Essential Foods,WM MORRISONS STORES LONDON, Process Date 31/07/2015
01/08/2015,Reference: AT152140006000010184755,45.28,Eating Out,INDIAN ZING LONDON, Process Date 01/08/2015
01/08/2015,Reference: AT152140006000010185002,4.25,Tuition,NYTDIGITALSUBSCRIPTI 800-698-4637, Process Date 01/08/2015
01/08/2015,Reference: AT152140006000010185391,7.1,Essential Foods,TESCO STORES 2753 LONDON, Process Date 02/08/2015
02/08/2015,Reference: AT152150011000010208583,4.1,Essential Foods,SNSBRY'S LCAL HMMERSMIT LONDON, Process Date 02/08/2015
02/08/2015,Reference: AT152150011000010208664,35,Clothes,TOP SHOP WHITE CITY LONDON, Process Date 02/08/2015
02/08/2015,Reference: AT152150011000010209971,26.08,Entertainment,VUE WESTFIELD - E COMME LONDON, Process Date 03/08/2015
